iter	RMSE
0	7.668365186
1	7.451624235
2	7.248619836
3	7.041849638
4	6.842611013
5	6.650637801
6	6.466874987
7	6.284082561
8	6.105796466
9	5.935208081
10	5.772914913
11	5.61118573
12	5.455499466
13	5.305067767
14	5.162200853
15	5.021901784
16	4.885784949
17	4.748967715
18	4.619872707
19	4.494692493
20	4.369968301
21	4.25011492
22	4.13521469
23	4.020176423
24	3.911015889
25	3.806931847
26	3.70390097
27	3.605955719
28	3.512567881
29	3.418266327
30	3.327074228
31	3.239825058
32	3.152674929
33	3.070164603
34	2.989546881
35	2.914238715
36	2.837776618
37	2.765306156
38	2.693068742
39	2.62614037
40	2.558649597
41	2.49807057
42	2.439784359
43	2.377733535
44	2.318688153
45	2.262509494
46	2.208237036
47	2.158327424
48	2.106844849
49	2.057492903
50	2.007911748
51	1.961859027
52	1.918372748
53	1.87549577
54	1.834206719
55	1.794415661
56	1.755045793
57	1.716683229
58	1.68056616
59	1.64552188
60	1.610273261
61	1.577379602
62	1.545618814
63	1.514780118
64	1.484738399
65	1.456078695
66	1.429329969
67	1.403248549
68	1.3781382
69	1.354098028
70	1.330102756
71	1.307339746
72	1.284938912
73	1.264142507
74	1.244280733
75	1.225400997
76	1.206875962
77	1.189030397
78	1.172136673
79	1.155361123
80	1.139810451
81	1.124883128
82	1.11044358
83	1.096875072
84	1.084371344
85	1.071740793
86	1.059875625
87	1.04834932
88	1.037034335
89	1.026746543
90	1.016655644
91	1.00713077
92	0.9980576441
93	0.9890976738
94	0.981240966
95	0.973637323
96	0.9664467335
97	0.9591316497
98	0.9524325295
99	0.9457472698
100	0.939556412
101	0.9338079326
102	0.9283217124
103	0.9230716515
104	0.9180390517
105	0.913161055
106	0.9086326144
107	0.9043155701
108	0.90003599
109	0.896215352
110	0.8924074794
111	0.8887389611
112	0.8853556723
113	0.8824051627
114	0.8793511142
115	0.8763878505
116	0.8737827834
117	0.8711873912
118	0.868596738
119	0.8662315648
120	0.8638243415
121	0.8615429488
122	0.859339218
123	0.8573846609
124	0.8554383398
125	0.8536950359
126	0.8520835691
127	0.8504654535
128	0.8488911014
129	0.847272558
130	0.8458112817
131	0.8444396542
132	0.8432041002
133	0.8419123303
134	0.8409202489
135	0.8399619116
136	0.8389642607
137	0.8380194372
138	0.8370915757
139	0.836231299
140	0.8354006441
141	0.8346447483
142	0.8337915934
143	0.8331112019
144	0.8325237163
145	0.8318216152
146	0.8311423059
147	0.8305061686
148	0.8298998773
149	0.8293450257
150	0.8287630035
151	0.8281609303
152	0.8277090919
153	0.8272015931
154	0.8267830024
155	0.8263878116
156	0.8259371582
157	0.8255541561
158	0.8251486485
159	0.824745567
160	0.8243322479
161	0.8239918687
162	0.8236987995
163	0.8232025268
164	0.8228848692
165	0.8225598456
166	0.8222965941
167	0.822009749
168	0.8218162122
169	0.8215681132
170	0.8213109692
171	0.8210694183
172	0.8207633236
173	0.8205383408
174	0.820257042
175	0.8200200582
176	0.819816681
177	0.8196120449
178	0.8194131932
179	0.819214861
180	0.8190105163
181	0.8187910616
182	0.8186231378
183	0.8184071378
184	0.8181939234
185	0.8180355595
186	0.8178131266
187	0.8176393265
188	0.8173355292
189	0.8172619975
190	0.8170740935
191	0.8169159863
192	0.8167522474
193	0.8165979583
194	0.8165071441
