iter	Passed	Remaining
0	11	17591
1	22	16775
2	32	16306
3	43	16455
4	55	16624
5	65	16423
6	76	16387
7	87	16391
8	98	16285
9	108	16189
10	118	16072
11	128	15975
12	139	15914
13	150	15955
14	160	15901
15	170	15838
16	180	15771
17	190	15712
18	200	15665
19	210	15613
20	221	15578
21	232	15603
22	242	15569
23	252	15544
24	263	15517
25	273	15487
26	283	15459
27	293	15420
28	303	15389
29	313	15353
30	323	15330
31	333	15307
32	343	15279
33	353	15253
34	363	15216
35	373	15188
36	383	15158
37	393	15125
38	402	15093
39	412	15067
40	422	15035
41	426	14792
42	436	14773
43	445	14756
44	456	14746
45	465	14727
46	476	14721
47	486	14708
48	496	14694
49	507	14710
50	517	14699
51	527	14687
52	537	14686
53	548	14675
54	558	14668
55	568	14666
56	578	14653
57	588	14639
58	598	14618
59	605	14522
60	614	14501
61	625	14497
62	635	14485
63	644	14471
64	654	14456
65	664	14446
66	674	14434
67	685	14426
68	694	14411
69	705	14404
70	715	14393
71	725	14381
72	734	14367
73	745	14356
74	755	14349
75	765	14340
76	775	14330
77	785	14320
78	795	14311
79	805	14300
80	815	14292
81	825	14283
82	836	14274
83	846	14269
84	856	14254
85	866	14253
86	877	14250
87	887	14243
88	897	14236
89	908	14238
90	918	14222
91	928	14211
92	938	14203
93	948	14189
94	958	14179
95	969	14174
96	979	14166
97	990	14163
98	1000	14159
99	1010	14152
100	1021	14143
101	1031	14133
102	1041	14123
103	1051	14110
104	1060	14095
105	1071	14089
106	1081	14078
107	1091	14070
108	1101	14059
109	1111	14051
110	1122	14041
111	1131	14027
112	1141	14016
113	1151	14004
114	1161	13993
115	1172	13984
116	1182	13977
117	1192	13969
118	1202	13959
119	1212	13948
120	1222	13938
121	1233	13929
122	1242	13915
123	1252	13904
124	1262	13891
125	1273	13882
126	1282	13867
127	1292	13857
128	1302	13846
129	1312	13834
130	1322	13822
131	1332	13810
132	1342	13797
133	1352	13784
134	1362	13772
135	1372	13762
136	1382	13752
137	1392	13740
138	1402	13728
139	1412	13717
140	1421	13704
141	1432	13698
142	1447	13731
143	1458	13730
144	1468	13720
145	1478	13711
146	1488	13703
147	1499	13697
148	1509	13685
149	1519	13673
150	1529	13662
151	1539	13653
152	1549	13640
153	1559	13627
154	1569	13615
155	1578	13602
156	1588	13590
157	1598	13576
158	1608	13563
159	1617	13550
160	1627	13537
161	1637	13524
162	1647	13511
163	1657	13501
164	1667	13490
165	1677	13479
166	1687	13467
167	1697	13454
168	1706	13442
169	1716	13432
170	1726	13419
171	1733	13380
172	1742	13368
173	1752	13354
174	1762	13343
175	1772	13332
176	1782	13320
177	1792	13310
178	1802	13298
179	1812	13288
180	1822	13278
181	1831	13266
182	1841	13254
183	1851	13243
184	1861	13230
185	1871	13220
186	1881	13209
187	1891	13198
188	1901	13187
189	1905	13138
190	1915	13129
191	1925	13118
192	1935	13107
193	1945	13097
194	1955	13085
195	1965	13074
196	1975	13063
197	1984	13051
198	1994	13038
199	2004	13027
200	2014	13016
201	2024	13010
202	2037	13016
203	2047	13007
204	2057	12998
205	2068	12990
206	2078	12981
207	2088	12970
208	2098	12960
209	2108	12951
210	2118	12944
211	2128	12934
212	2139	12926
213	2149	12917
214	2159	12906
215	2169	12898
216	2179	12888
217	2189	12876
218	2199	12866
219	2209	12857
220	2219	12847
221	2231	12845
222	2241	12833
223	2251	12824
224	2261	12815
225	2271	12804
226	2281	12792
227	2291	12781
228	2300	12770
229	2310	12760
230	2320	12748
231	2330	12738
232	2340	12726
233	2350	12715
234	2360	12706
235	2370	12696
236	2380	12685
237	2390	12673
238	2400	12662
239	2409	12651
240	2419	12639
241	2429	12628
242	2439	12617
243	2449	12607
244	2458	12595
245	2469	12586
246	2479	12575
247	2489	12565
248	2498	12555
249	2509	12545
250	2519	12535
251	2528	12523
252	2538	12512
253	2548	12500
254	2552	12462
255	2562	12451
256	2572	12443
257	2582	12433
258	2592	12423
259	2602	12412
260	2612	12402
261	2622	12392
262	2632	12381
263	2642	12369
264	2651	12356
265	2660	12344
266	2670	12332
267	2680	12321
268	2690	12310
269	2700	12300
270	2710	12290
271	2720	12281
272	2730	12273
273	2741	12264
274	2750	12254
275	2760	12244
276	2770	12233
277	2781	12224
278	2791	12214
279	2801	12204
280	2811	12194
281	2820	12183
282	2831	12175
283	2843	12173
284	2854	12169
285	2864	12161
286	2874	12150
287	2884	12140
288	2894	12130
289	2904	12120
290	2914	12110
291	2925	12100
292	2934	12089
293	2945	12082
294	2955	12074
295	2967	12069
296	2978	12062
297	2994	12076
298	3015	12110
299	3029	12119
300	3046	12136
301	3065	12161
302	3076	12152
303	3086	12143
304	3097	12134
305	3107	12125
306	3118	12118
307	3129	12110
308	3140	12103
309	3150	12094
310	3161	12086
311	3171	12077
312	3182	12067
313	3192	12059
314	3203	12051
315	3214	12044
316	3224	12034
317	3235	12025
318	3245	12015
319	3255	12004
320	3266	11997
321	3276	11987
322	3287	11978
323	3297	11969
324	3309	11963
325	3319	11954
326	3331	11950
327	3342	11943
328	3353	11934
329	3363	11926
330	3373	11915
331	3384	11907
332	3395	11897
333	3405	11889
334	3415	11878
335	3426	11869
336	3436	11860
337	3447	11853
338	3458	11845
339	3468	11834
340	3479	11825
341	3490	11817
342	3500	11809
343	3511	11799
344	3521	11790
345	3532	11780
346	3542	11770
347	3552	11761
348	3563	11752
349	3574	11743
350	3585	11735
351	3595	11726
352	3605	11716
353	3616	11708
354	3627	11699
355	3637	11689
356	3647	11679
357	3657	11668
358	3668	11658
359	3678	11648
360	3688	11638
361	3699	11629
362	3710	11622
363	3721	11612
364	3730	11601
365	3741	11591
366	3751	11581
367	3762	11572
368	3772	11563
369	3782	11552
370	3793	11543
371	3803	11532
372	3813	11523
373	3824	11513
374	3835	11506
375	3846	11497
376	3856	11488
377	3867	11479
378	3878	11470
379	3888	11461
380	3899	11451
381	3909	11442
382	3919	11431
383	3930	11421
384	3940	11412
385	3950	11401
386	3960	11391
387	3971	11382
388	3982	11374
389	3993	11365
390	4003	11355
391	4018	11357
392	4029	11349
393	4040	11341
394	4050	11332
395	4062	11326
396	4072	11315
397	4083	11305
398	4093	11295
399	4103	11284
400	4113	11273
401	4123	11263
402	4133	11252
403	4143	11240
404	4153	11228
405	4162	11216
406	4172	11204
407	4181	11192
408	4191	11180
409	4201	11168
410	4211	11157
411	4220	11145
412	4230	11134
413	4240	11122
414	4249	11110
415	4259	11099
416	4269	11087
417	4278	11076
418	4288	11064
419	4298	11053
420	4308	11041
421	4318	11031
422	4328	11020
423	4338	11009
424	4348	10998
425	4358	10987
426	4368	10976
427	4378	10965
428	4387	10953
429	4397	10942
430	4407	10931
431	4417	10919
432	4427	10909
433	4436	10898
434	4447	10889
435	4457	10879
436	4467	10868
437	4486	10877
438	4505	10888
439	4515	10877
440	4525	10866
441	4536	10858
442	4546	10848
443	4556	10836
444	4566	10825
445	4576	10814
446	4585	10802
447	4595	10790
448	4605	10779
449	4615	10768
450	4625	10758
451	4634	10746
452	4645	10736
453	4655	10726
454	4665	10714
455	4674	10702
456	4684	10692
457	4694	10680
458	4704	10670
459	4714	10659
460	4724	10648
461	4735	10640
462	4745	10629
463	4755	10617
464	4765	10606
465	4775	10595
466	4784	10583
467	4794	10571
468	4803	10560
469	4813	10549
470	4823	10538
471	4834	10528
472	4844	10518
473	4855	10509
474	4866	10501
475	4877	10492
476	4888	10483
477	4898	10474
478	4909	10464
479	4920	10455
480	4930	10445
481	4941	10436
482	4952	10427
483	4964	10421
484	4975	10412
485	4987	10405
486	4998	10396
487	5009	10388
488	5021	10382
489	5034	10376
490	5046	10369
491	5058	10363
492	5071	10359
493	5085	10355
494	5098	10350
495	5109	10342
496	5121	10335
497	5133	10327
498	5143	10318
499	5157	10315
500	5173	10316
501	5188	10314
502	5202	10311
503	5214	10304
504	5227	10299
505	5242	10297
506	5255	10293
507	5268	10288
508	5281	10283
509	5292	10273
510	5306	10269
511	5319	10265
512	5333	10262
513	5348	10259
514	5360	10252
515	5373	10246
516	5385	10239
517	5396	10230
518	5407	10220
519	5418	10211
520	5429	10202
521	5441	10194
522	5451	10183
523	5462	10174
524	5473	10165
525	5484	10155
526	5496	10147
527	5507	10137
528	5517	10127
529	5529	10119
530	5540	10110
531	5550	10099
532	5561	10090
533	5573	10082
534	5583	10071
535	5594	10061
536	5605	10051
537	5615	10041
538	5626	10031
